country_iso3,t,gdp,gdpcap,pop,co2_pc,source
MDA,2014,7824131195.57662,2737.8018505664713,2857815.0,2.95816362892744,hist
MDA,2015,7797667196.73087,2749.5513705433787,2835978.0,3.0195097669380577,hist
MDA,2016,8159947934.63828,2910.9548687237593,2803186.0,3.0938518344625177,hist
MDA,2017,8500675703.95748,3085.333058442626,2755189.0,3.1874477674881243,hist
MDA,2018,8847128857.51461,3267.996104287196,2707203.0,3.284349162466215,hist
MDA,2019,9161406662.06896,3438.677326707124,2664224.0,3.378386646278322,hist
MDA,2020,8403210632.93021,3188.916916026993,2635130.0,3.45719477327965,hist
MDA,2021,9573777856.36482,3688.167294421439,2595809.0,3.6071232199088796,hist
MDA,2022,9133384072.52763,3611.9548473328614,2528654.0,3.8030700023745814,hist
MDA,2023,9242984685.904167,3760.7000642058993,2457783.0,4.0157708915801535,hist
MDA,2024,9252510447.17039,3851.512025183465,2402306.0,4.213925571786687,hist
MDA,2025,9307946964.93539,3874.5884017004455,2402306.0,4.319343139505389,projected
MDA,2030,11313392404.60188,4993.736667516138,2265516.4174343836,4.133186183459016,projected
MDA,2035,13444185210.085695,6311.277571392936,2130184.4290645714,4.132361642289113,projected
MDA,2040,15568032900.462814,7799.452049661008,1996041.8759340225,4.032703239536288,projected
MDA,2045,17413081890.347122,9344.089703060507,1863539.675207072,4.156558609944267,projected
MDA,2050,18996644746.45991,10954.374628912421,1734160.5878916292,4.026769351363138,projected
MDA,2055,20227396151.815884,12562.177934519066,1610182.267537693,4.065911492656273,projected
MDA,2060,21415618903.709755,14352.151334842945,1492153.9220199496,4.1050536339494075,projected
MDA,2065,22749002917.97177,16434.763481981972,1384200.2011718836,4.022646436980199,projected
MDA,2070,23995678157.414078,18678.61052375227,1284660.7688992962,3.940239240010989,projected
MDG,2012,10385448752.8756,442.6415001235422,23462438.0,0.1563034497949446,hist
MDG,2013,10624353147.158703,440.6746589036302,24109290.0,0.14867049174820163,hist
MDG,2014,10979121878.0735,443.34386990820434,24764348.0,0.14138954920194144,hist
MDG,2015,11323020701.3017,445.3200694805681,25426702.0,0.13444527725223665,hist
MDG,2016,11775165456.5346,451.15659433146084,26099952.0,0.127800235034915,hist
MDG,2017,12238318933.7165,456.8518595740316,26788375.0,0.12142057888916366,hist
MDG,2018,12629254472.2012,459.3303677995424,27494926.0,0.11528454377364027,hist
MDG,2019,13186360203.1442,467.27741349647835,28219554.0,0.10938585351136308,hist
MDG,2020,12245161113.1284,422.9242554223184,28953556.0,0.10374891429570862,hist
MDG,2021,12814644792.206902,431.59910307774567,29691083.0,0.12634837200111562,hist
MDG,2022,13347233960.4257,438.51626335318736,30437261.0,0.14781027767248833,hist
MDG,2023,13908224364.653002,445.8345519105825,31195932.0,0.16817769701511082,hist
MDG,2024,14492369787.952602,453.38306700477244,31964956.0,0.18751722980629165,hist
MDG,2025,14492687310.878159,453.3930004745872,31964956.0,0.21090283997262502,projected
MDG,2030,20042680425.50759,566.4267995840366,35384414.085326135,0.24855970394578364,projected
MDG,2035,27662605744.69061,714.025069846825,38741785.00570699,0.3296485063204842,projected
MDG,2040,38111236207.30575,907.1271652951738,42013113.11728227,0.4637297170063366,projected
MDG,2045,52743002937.05401,1169.3048171914772,45106290.64518528,0.5489136290380002,projected
MDG,2050,73116389707.7653,1523.937391709248,47978604.7022299,0.6954741311078294,projected
MDG,2055,99401077036.21817,1961.5833440775423,50673899.39679708,0.7431169309289836,projected
MDG,2060,133338640882.45088,2508.1199885667047,53162783.87408764,0.7907597307501377,projected
MDG,2065,176426965722.97275,3184.7887441158005,55396756.2366384,0.8020032938571854,projected
MDG,2070,229908264926.5953,4006.369984040519,57385679.76558355,0.8132468569642329,projected
