country_iso3,t,gdp,gdpcap,pop,co2_pc,source
CHN,2025,18488114837769.344,13121.6769905565,1408975000.0,7.323722777196188,projected
CHN,2030,22788414442609.133,16226.400228156366,1404403572.0915,7.245132170549513,projected
CHN,2035,26401547943350.51,19010.83992289184,1388762834.8055878,3.2512152451250023,projected
CHN,2040,29595082124481.426,21719.0439279663,1362632822.2658837,3.3004057559573448,projected
CHN,2045,32399582417254.312,24405.12206735098,1327573053.223867,3.266883727532426,projected
CHN,2050,34585712067727.676,26917.7001879495,1284868760.192633,3.133180858425451,projected
CHN,2055,36139614403251.2,29231.790334321944,1236312042.126909,3.1409762770808567,projected
CHN,2060,37411967743711.09,31602.85718336391,1183815992.5427618,3.1487716957362624,projected
CHN,2065,38413938178649.9,34008.25683206568,1129547402.806903,3.015801877251193,projected
CHN,2070,39180375714790.54,36435.571690421464,1075333085.1424696,2.8828320587661245,projected
CIV,2012,35281210700.9425,1503.434330466814,23467078.0,0.38398128590040537,hist
CIV,2013,39077544167.6054,1632.3271278700572,23939775.0,0.415297623165638,hist
CIV,2014,42739891584.4862,1742.5369300117766,24527395.0,0.44331428292630376,hist
CIV,2015,45815005169.2651,1814.718550880167,25246342.0,0.46757496180358527,hist
CIV,2016,49101205368.91,1889.277779499377,25989405.0,0.4900370080109683,hist
CIV,2017,52739979047.0655,1972.8143178894716,26733372.0,0.5112330437043386,hist
CIV,2018,55294253263.7438,2013.3230759849857,27464173.0,0.5315359761932533,hist
CIV,2019,59010785540.9857,2093.0999433577913,28193009.0,0.5508248117733882,hist
CIV,2020,59423700880.6615,2055.0848399643214,28915449.0,0.5692673748765058,hist
CIV,2021,63620992438.4818,2146.4763531794547,29639736.0,0.5755351131498648,hist
CIV,2022,67692661917.01769,2227.09845246984,30395002.0,0.5809111603078281,hist
CIV,2023,72160377909.6739,2315.381474416481,31165654.0,0.5857372011595007,hist
CIV,2024,76504096839.437,2395.676890892218,31934230.0,0.5903687050901817,hist
CIV,2025,76504096839.43706,2395.67689089222,31934230.0,0.6090974192907945,projected
CIV,2030,114073058162.56786,3371.632808650424,33833179.54134759,0.7034438389129437,projected
CIV,2035,162305307499.54346,4558.849379986999,35602252.66753742,0.7999460958307542,projected
CIV,2040,222681419552.4339,5991.81510594028,37164267.524154365,1.0028665914988137,projected
CIV,2045,296382703923.95416,7703.012681717536,38476206.15079526,1.2580908744653656,projected
CIV,2050,383082538871.3191,9680.875596812768,39571063.07588967,1.584336569904086,projected
CIV,2055,483661310919.4993,11963.137820135978,40429301.92657446,1.3508255801234108,projected
CIV,2060,597723592222.5336,14543.847018700431,41098039.016360834,1.117314590342736,projected
CIV,2065,725193944763.688,17406.522772013715,41662194.928998575,0.9833422939734581,projected
CIV,2070,865206074834.3014,20559.366512413515,42083304.18701859,0.8493699976041799,projected
CMR,2012,27461703151.6573,1319.669616340538,20809529.0,0.15932296564681972,hist
CMR,2013,28833560540.7901,1347.213063670599,21402376.0,0.16164005615207083,hist
CMR,2014,30482787768.4783,1381.8193845490682,22059893.0,0.1633519547380383,hist
CMR,2015,32210233020.456905,1415.0000971056847,22763414.0,0.1646313697627343,hist
CMR,2016,33671222913.454803,1435.6183072783888,23454161.0,0.16592439233833337,hist
CMR,2017,34863580363.1151,1444.9068291657316,24128601.0,0.16725639402651943,hist
CMR,2018,36242614248.5756,1461.019699993167,24806383.0,0.16849325355489775,hist
CMR,2019,37502066832.7403,1470.3178527618713,25506095.0,0.1695184451023624,hist
CMR,2020,37599547048.58411,1434.5191372340912,26210558.0,0.1704579867955262,hist
CMR,2021,38854942334.5769,1443.5760023766336,26915758.0,0.16693087371072196,hist
CMR,2022,40306867605.1364,1458.6618043169249,27632771.0,0.1635139324096499,hist
CMR,2023,41656165354.262,1468.1783700733738,28372687.0,0.16014045830922938,hist
CMR,2024,43124429828.9643,1480.730974319933,29123744.0,0.15687842709039382,hist
CMR,2025,43124429828.96422,1480.73097431993,29123744.0,0.15774617438480007,projected
CMR,2030,57115142325.78417,1831.908820281234,31177939.47682171,0.17377014972434698,projected
CMR,2035,74616475896.69604,2251.328700216967,33143305.94617527,0.16095984258969998,projected
CMR,2040,96697394936.17047,2766.7077583342575,34950346.54270415,0.25945962625613117,projected
CMR,2045,123867728403.56297,3393.620289992344,36500173.21290898,0.33121258980447155,projected
CMR,2050,156909970069.17993,4146.2510034848565,37843818.41265752,0.43318313513219464,projected
CMR,2055,196674656639.87708,5043.541349401146,38995349.302178234,0.37732730656770336,projected
CMR,2060,243720430486.01175,6105.879495812501,39915696.11767784,0.3214714780032121,projected
CMR,2065,298316504965.23175,7342.115616012041,40630864.53101456,0.29885976723903673,projected
CMR,2070,360172464935.3125,8748.472393334983,41169754.98599157,0.2762480564748614,projected
COD,2012,32115268325.523106,438.40605824363325,73254618.0,0.10869840315050172,hist
COD,2013,35206198726.08799,464.5267154604941,75789395.0,0.11218310952343662,hist
COD,2014,37777053057.3322,481.83024188377567,78403242.0,0.11532584328591922,hist
COD,2015,40179574490.3032,495.8266330148833,81035531.0,0.11823887474742406,hist
COD,2016,40337814832.805,480.46137788047525,83956415.0,0.12055278920616132,hist
COD,2017,42048626459.9632,482.8546821285408,87083398.0,0.12242069378137954,hist
COD,2018,44601688163.9569,495.31210571102673,90047644.0,0.12438348747913938,hist
COD,2019,44849398935.1374,482.5242951294711,92947442.0,0.12630869389606225,hist
COD,2020,45197173728.8833,470.8529500009293,95989998.0,0.12792687004743974,hist
COD,2021,48103175756.1974,485.16080592978454,99148932.0,0.16234809266528458,hist
COD,2022,52582143957.1902,513.5127043721666,102396968.0,0.19447431295036002,hist
COD,2023,57069235865.1432,539.4591263791303,105789731.0,0.22431780264192183,hist
COD,2024,60565728422.472595,554.2441299807657,109276265.0,0.2520900581658789,hist
COD,2025,60565728422.47263,554.244129980766,109276265.0,0.2870193266579893,projected
COD,2030,96565150254.24289,795.2973691857038,121420180.6716837,0.36721148915549046,projected
COD,2035,146903121533.0596,1103.6936430799203,133101356.93372124,0.5078998627927117,projected
COD,2040,218322036558.1057,1514.7729213650168,144128557.8048014,0.6623926979934756,projected
COD,2045,318108644898.36273,2056.06373207885,154717307.6083243,0.8036923663157777,projected
COD,2050,453094687918.5734,2749.0697611603214,164817457.27956071,1.0803764202592392,projected
COD,2055,630592561104.6847,3623.4702524225295,174030009.1281533,1.0079933643412868,projected
COD,2060,858430887432.5433,4716.114135438257,182020804.15782207,0.9356103084233341,projected
