country_iso3,t,gdp,gdpcap,pop,co2_pc,source
ROU,2024,237383786157.719,12459.911206189136,19051804.0,2.3449852606212205,hist
ROU,2025,239241874224.29883,12557.439401764726,19051804.0,2.1570500159335015,projected
ROU,2030,271417238011.44724,14560.634665915846,18640481.286629096,1.3939240679484375,projected
ROU,2035,300261351392.78687,16497.745629723526,18200144.31861614,0.9911694118404553,projected
ROU,2040,329367296966.7236,18584.449704084796,17722736.062199883,0.8392239355257753,projected
ROU,2045,354217730863.19006,20595.563354340542,17198739.59109442,0.44060450621183855,projected
ROU,2050,374985824627.7475,22561.602199872243,16620531.702747196,0.21047887834768894,projected
ROU,2055,396824268789.1343,24818.995224167844,15988732.227270871,0.1117047609883796,projected
ROU,2060,420354357369.13153,27457.515395614486,15309264.19643456,0.012930643629070197,projected
ROU,2065,441368101084.3767,30235.72740643062,14597568.47095087,0.013125222397770298,projected
ROU,2070,463430762299.23926,33381.88868719386,13882700.485938145,0.0133198011664704,projected
RUS,2012,1356935163515.02,9464.010748526382,143378447.0,12.204793703524409,hist
RUS,2013,1380755103919.45,9601.536651292141,143805638.0,12.330160389041508,hist
RUS,2014,1390921151162.46,9643.288481520889,144237223.0,12.454405029762505,hist
RUS,2015,1363482182197.71,9426.683024700389,144640716.0,12.580351232718666,hist
RUS,2016,1366123111808.03,9420.534278262676,145015460.0,12.708115562669276,hist
RUS,2017,1391065651845.68,9574.192580204202,145293260.0,12.843785308935724,hist
RUS,2018,1430116278515.49,9835.865939790783,145398106.0,12.994375954918644,hist
RUS,2019,1461551317106.2097,10048.251964998233,145453291.0,13.149237487647127,hist
RUS,2020,1422766794794.99,9795.62356737032,145245148.0,13.328101541406257,hist
RUS,2021,1506233291759.56,10405.989543030746,144746762.0,13.74576414567471,hist
RUS,2022,1484605556957.56,10292.825326212116,144236933.0,14.16743672484801,hist
RUS,2023,1545214947189.49,10743.631544487014,143826130.0,14.58205398438498,hist
RUS,2024,1612344875264.3604,11233.202927610158,143533851.0,14.986660968127323,hist
RUS,2025,1585614880502.173,11046.975117404,143533851.0,15.361574411796656,projected
RUS,2030,1834760605209.2058,12899.740851295674,142232361.5923586,14.699514501245675,projected
RUS,2035,2078809041282.02,14736.248057825303,141067728.57817918,14.696582052924727,projected
RUS,2040,2299975955350.8296,16386.476990082894,140358171.9696538,14.342150853503131,projected
RUS,2045,2463549557584.1226,17622.711599395137,139794012.04458675,14.782637619053478,projected
RUS,2050,2585215586359.883,18563.875279519594,139260555.64551198,14.32104721302377,projected
